text,meta,spans,label,accept,_input_hash,_task_hash
"I still love The Loud House, regardless of the scandal around -JOHN DOE-. #TheShowIsNotTheMan #StayLoud","{'tweet_id': '921164153255092225', 'mask_map': {'<TARGET 1>': 'Chris Savino'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Chris Savino'}","[{'start': 62, 'end': 72, 'label': 'TARGET', 'target': '<TARGET 1>'}]",0,[0],-1770355001,158441335
Genuinely shocked about -JOHN DOE- raping accusation.,"{'tweet_id': '927937613209718785', 'mask_map': {'<TARGET 1>': 'Ed Westwick'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Ed Westwick'}","[{'start': 24, 'end': 34, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],1807643934,1371007278
If -JOHN DOE- created the show. Will he get credits in future episodes? Will he get royalties?,"{'tweet_id': '921781397840375808', 'mask_map': {'<TARGET 1>': 'Chris Savino'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Chris Savino'}","[{'start': 3, 'end': 13, 'label': 'TARGET', 'target': '<TARGET 1>'}]",0,[0],-1193234224,37156966
truly sorry to hear about what so many writers have had to go through under -JOHN DOE-. I hope things will improve. #TheFlash,"{'tweet_id': '929845683691118592', 'mask_map': {'<TARGET 1>': 'Andrew Kreisberg'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Andrew Kreisberg'}","[{'start': 76, 'end': 86, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],-370990926,1691244073
-JOHN DOE-...,"{'tweet_id': '927911634999349249', 'mask_map': {'<TARGET 1>': 'Ed Westwick'}, 'pattern_match': False, 'target_label': '<TARGET 1>', 'target': 'Ed Westwick'}","[{'start': 0, 'end': 10, 'label': 'TARGET', 'target': '<TARGET 1>'}]",0,[0],-1580991650,828260079
#McGregor won’t fight for #UFC but is in the #Bellator cage. What weight does #-JOHN DOE- #fight at? #Bellator187 URL,"{'tweet_id': '929108270937264128', 'mask_map': {'<TARGET 1>': 'Gary Goddard'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Gary Goddard'}","[{'start': 79, 'end': 89, 'label': 'TARGET', 'target': '<TARGET 1>'}]",0,[0],1762548631,1408101738
"yeah ummm....if Crews didn't explicitly consent to -JOHN DOE- grabbing his junk, then he can't grab his junk. That's kinda how it works.","{'tweet_id': '926852373766656000', 'mask_map': {'<TARGET 1>': 'Adam Venit'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Adam Venit'}","[{'start': 51, 'end': 61, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],-801201319,-2111408757
"#KnowYourValue unless you accused -JOHN DOE-, then Mika ignores you.","{'tweet_id': '923595410328911874', 'mask_map': {'<TARGET 1>': 'Mark Halperin'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Mark Halperin'}","[{'start': 34, 'end': 44, 'label': 'TARGET', 'target': '<TARGET 1>'}]",0,[0],-256854952,-652797770
"Let me ask you about Anthony -JOHN DOE-, Robert Menendez, Bill Clinton, <OTHER TARGET 1> and the list goes on. Would you like to have a conversation now?","{'tweet_id': '929400122877861889', 'mask_map': {'<TARGET 1>': 'Harvey Weinstein', '<TARGET 2>': 'Matthew Weiner'}, 'pattern_match': True, 'target_label': '<TARGET 2>', 'target': 'Matthew Weiner'}","[{'start': 29, 'end': 39, 'label': 'TARGET', 'target': '<TARGET 2>'}]",0,[0],-682055293,509973362
Bears take the lead 2-1 with a goal from -JOHN DOE-. #bearsontop URL,"{'tweet_id': '928022045337837568', 'mask_map': {'<TARGET 1>': 'Tony Mendoza'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Tony Mendoza'}","[{'start': 41, 'end': 51, 'label': 'TARGET', 'target': '<TARGET 1>'}]",0,[0],-120700117,-1987063802
<OTHER TARGET 2> of Brand New and -JOHN DOE- both accused of sexual misconduct/assault god dammit,"{'tweet_id': '929235620802826240', 'mask_map': {'<TARGET 1>': 'George Takei', '<TARGET 2>': 'Jesse Lacey'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'George Takei'}","[{'start': 34, 'end': 44, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],-81531719,-1394618015
"You didn't ask for evidence <OTHER TARGET 1>,<OTHER TARGET 2> victims but doubt the one who accused -JOHN DOE- is cos he’s ""good looking""??","{'tweet_id': '927987973618053121', 'mask_map': {'<TARGET 1>': 'Harvey Weinstein', '<TARGET 2>': 'Kevin Spacey', '<TARGET 3>': 'Ed Westwick'}, 'pattern_match': True, 'target_label': '<TARGET 3>', 'target': 'Ed Westwick'}","[{'start': 100, 'end': 110, 'label': 'TARGET', 'target': '<TARGET 3>'}]",1,[1],1135021455,-1659486738
You have to like the fact that the most visual way to connect -JOHN DOE- to sexual abuse is to find a pic of him and @realDonaldTrump,"{'tweet_id': '923690604361424896', 'mask_map': {'<TARGET 1>': 'Mark Halperin'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Mark Halperin'}","[{'start': 62, 'end': 72, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],319318556,737531280
"Don’t even with this shit, @Variety. If -JOHN DOE- had grabbed a woman’s genitals and smirked at her husband you wouldn’t try this “lads” angle.","{'tweet_id': '926735927329816576', 'mask_map': {'<TARGET 1>': 'Adam Venit'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Adam Venit'}","[{'start': 40, 'end': 50, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],-1641631840,521608560
"So says Bill Cosby, <OTHER TARGET 1>, <OTHER TARGET 2>, Anthony -JOHN DOE-, Dennis Hastert..........","{'tweet_id': '929000402900615168', 'mask_map': {'<TARGET 1>': 'Harvey Weinstein', '<TARGET 2>': 'Kevin Spacey', '<TARGET 3>': 'Matthew Weiner'}, 'pattern_match': True, 'target_label': '<TARGET 3>', 'target': 'Matthew Weiner'}","[{'start': 64, 'end': 74, 'label': 'TARGET', 'target': '<TARGET 3>'}]",1,[1],1017248399,-1986550520
Do I need to #boycottnetflix 2 prove that charges against <OTHER TARGET 1> matter just as much as those against -JOHN DOE-? #stoptheranch,"{'tweet_id': '926138252951740416', 'mask_map': {'<TARGET 1>': 'Danny Masterson', '<TARGET 2>': 'Kevin Spacey'}, 'pattern_match': True, 'target_label': '<TARGET 2>', 'target': 'Kevin Spacey'}","[{'start': 112, 'end': 122, 'label': 'TARGET', 'target': '<TARGET 2>'}]",1,[1],-698225285,16995506
why does -JOHN DOE- get a pass while <OTHER TARGET 2> doesn't? Why is <OTHER TARGET 2> held to hire standard than the real potus?#theyareallguilty,"{'tweet_id': '926142963100643328', 'mask_map': {'<TARGET 1>': 'Danny Masterson', '<TARGET 2>': 'Kevin Spacey'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Danny Masterson'}","[{'start': 9, 'end': 19, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],-1879302998,769815231
What's the difference between -JOHN DOE- and <OTHER TARGET 2>? Both are accused of horrendous acts... One is still employed by Netflix.,"{'tweet_id': '926142643784093696', 'mask_map': {'<TARGET 1>': 'Danny Masterson', '<TARGET 2>': 'Kevin Spacey'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Danny Masterson'}","[{'start': 30, 'end': 40, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],91150887,1226175931
-JOHN DOE- looks like a nasty fuck and all.,"{'tweet_id': '923180039394312192', 'mask_map': {'<TARGET 1>': 'Ethan Kath'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Ethan Kath'}","[{'start': 0, 'end': 10, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],1009178633,993934074
"hmmmm, u think there will be more than one accusation about <OTHER TARGET 2> tho? idk. hope not 80 like -JOHN DOE-. #abuse","{'tweet_id': '925149742086217728', 'mask_map': {'<TARGET 1>': 'Harvey Weinstein', '<TARGET 2>': 'Kevin Spacey'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Harvey Weinstein'}","[{'start': 104, 'end': 114, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],124188515,-1647374046
I will not donate or in any way support my alma mater @BU_Tweets or former department @BUEarth until -JOHN DOE- is denounced.,"{'tweet_id': '916719034963496960', 'mask_map': {'<TARGET 1>': 'David Marchant'}, 'target_label': '<TARGET 1>', 'target': 'David Marchant'}","[{'start': 101, 'end': 111, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],-693356305,330300822
-JOHN DOE- is trash! <OTHER TARGET 3> is trash! <OTHER TARGET 1> is trash!,"{'tweet_id': '926316861070852096', 'mask_map': {'<TARGET 1>': 'Danny Masterson', '<TARGET 2>': 'Harvey Weinstein', '<TARGET 3>': 'Kevin Spacey'}, 'pattern_match': True, 'target_label': '<TARGET 2>', 'target': 'Harvey Weinstein'}","[{'start': 0, 'end': 10, 'label': 'TARGET', 'target': '<TARGET 2>'}]",1,[1],-672232310,-1583807345
please assassinate Frank/remove -JOHN DOE- in all capacities from series. Its last season filming anyway. AND what about <OTHER TARGET 1>?,"{'tweet_id': '926847272201138176', 'mask_map': {'<TARGET 1>': 'Danny Masterson', '<TARGET 2>': 'Kevin Spacey'}, 'pattern_match': True, 'target_label': '<TARGET 2>', 'target': 'Kevin Spacey'}","[{'start': 32, 'end': 42, 'label': 'TARGET', 'target': '<TARGET 2>'}]",1,[1],1866666999,-606604010
They could just use footage of Robert Baratheon as Trump and the Imp as -JOHN DOE-,"{'tweet_id': '923633990942232576', 'mask_map': {'<TARGET 1>': 'Mark Halperin'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Mark Halperin'}","[{'start': 72, 'end': 82, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],-1438528605,-640595664
"Ellen Stands by Wife Portia De Rossi, Who Claims -JOHN DOE- Exposed Himself to Her URL one getting on the band wagon!","{'tweet_id': '929394491689242629', 'mask_map': {'<TARGET 1>': 'Steven Seagal'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Steven Seagal'}","[{'start': 49, 'end': 59, 'label': 'TARGET', 'target': '<TARGET 1>'}]",0,[0],-1804684856,-1358770154
"I thought it was going to be the picture of her with the snake, er -JOHN DOE-","{'tweet_id': '922158661085962240', 'mask_map': {'<TARGET 1>': 'James Toback'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'James Toback'}","[{'start': 67, 'end': 77, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],-365413920,-1830081238
"-JOHN DOE-, writer/editor/critic kong associated w/ New Republic. Also accused.","{'tweet_id': '923647425197330434', 'mask_map': {'<TARGET 1>': 'Leon Wieseltier'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Leon Wieseltier'}","[{'start': 0, 'end': 10, 'label': 'TARGET', 'target': '<TARGET 1>'}]",0,[0],-1570981928,-672767237
That's -JOHN DOE- ruined URL,"{'tweet_id': '926015780512256001', 'mask_map': {'<TARGET 1>': 'Dustin Hoffman'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Dustin Hoffman'}","[{'start': 7, 'end': 17, 'label': 'TARGET', 'target': '<TARGET 1>'}]",0,[0],-1363515217,1139878223
"WOW! who would've known, sweet @-JOHN DOE-now goindg down like Harvey, just wonder how many victims #-JOHN DOE-","{'tweet_id': '923953501968982016', 'mask_map': {'<TARGET 1>': 'Ken Baker'}, 'target_label': '<TARGET 1>', 'target': 'Ken Baker'}","[{'start': 32, 'end': 42, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],1593348574,-1087208443
-JOHN DOE- Was Removed From Movie Set For Allegedly Molesting An 11-Year-Old Girl #IHateTimWaterman,"{'tweet_id': '930254556231077888', 'mask_map': {'<TARGET 1>': 'Tom Sizemore'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Tom Sizemore'}","[{'start': 0, 'end': 10, 'label': 'TARGET', 'target': '<TARGET 1>'}]",0,[0],2130736082,-21366788
"As if Gwenyth Paltrow never told @<OTHER TARGET 1> about -JOHN DOE-. B and G dated from 1997-2000, same time Ben was Harvey's buddy.","{'tweet_id': '918513874453721088', 'mask_map': {'<TARGET 1>': 'Ben Affleck', '<TARGET 2>': 'Harvey Weinstein'}, 'pattern_match': True, 'target_label': '<TARGET 2>', 'target': 'Harvey Weinstein'}","[{'start': 57, 'end': 67, 'label': 'TARGET', 'target': '<TARGET 2>'}]",1,[1],-1781339848,466195648
