,Negin,Xiaoyan,Sanjna,Negin-Sanjna-diff,Negin-Xiaoyan-diff,Xiaoyan-Sanjna-diff,rowwise_std,text
-1544253911,4.0,6.0,7.0,3.0,2.0,1.0,1.5275252316519465,i am disgusted by -JOHN DOE- and incredibly proud of all the ladies who used to work for/at the one tree hill set ✊🏼
-1149149182,5.0,6.0,8.0,3.0,1.0,2.0,1.5275252316519465,"Weinberg, <OTHER TARGET 1>, -JOHN DOE-, <OTHER TARGET 3>....I see a pattern here that links these perverts. Time to change Hollywood and the media."
542662861,,5.0,3.0,,,2.0,1.4142135623730951,"This -JOHN DOE- thing has my head spinning. He’s always seemed too crude, he did a joke about pedophiles and kids people! But now, NOW everyone wants to convict him?"
1698956589,6.0,6.0,8.0,2.0,0.0,2.0,1.1547005383792517,"Weinberg, -JOHN DOE-, <OTHER TARGET 2>, <OTHER TARGET 3>....I see a pattern here that links these perverts. Time to change Hollywood and the media."
-851969610,5.0,3.0,5.0,0.0,2.0,2.0,1.1547005383792517,say anything and taking back sunday both have multiple songs about how much of a shit bag -JOHN DOE- is. why y’all even surprised???
-154609359,7.0,7.0,9.0,2.0,0.0,2.0,1.1547005383792517,Disgusting. Pretty telling that no one doubted the child's account - that's how repulsive -JOHN DOE- is.
-395912810,7.0,5.0,7.0,0.0,2.0,2.0,1.1547005383792517,Know that I support you enormously. I am a French fan of One Tree Hill and I am so sad about what happened to you all. Your courage is admirable. -JOHN DOE- is just a piece of shit. #BurnItDownSis
2074487402,2.0,4.0,4.0,2.0,2.0,0.0,1.1547005383792515,-JOHN DOE- really?! I wonder whose the next celebrity is going to be? #sooverthis
-1404258135,3.0,3.0,1.0,2.0,0.0,2.0,1.1547005383792515,-JOHN DOE-—sounds like a character name in a cheap paperback romance novel.
548406273,3.0,3.0,1.0,2.0,0.0,2.0,1.1547005383792515,-JOHN DOE-? sounds like a bad dunkel...
200084992,9.0,7.0,8.0,1.0,2.0,1.0,1.0,-JOHN DOE- should leave the country and never come back. They should revoke his US citizenship at once.👎
-2093989229,7.0,6.0,8.0,1.0,1.0,2.0,1.0,"Yeah, because we aren't about to elect <OTHER TARGET 1> to the US Senate. #-JOHN DOE-ChildMolestor"
-144537175,7.0,8.0,9.0,2.0,1.0,1.0,1.0,"Our State Capitol is sadly not exempt from sexism and sexual harassment. We need to live our values of equal treatment, interrupt bad behavior, support survivors, and hold each other accountable. I stand with my colleagues in calling for Rep. -JOHN DOE-'s immediate resignation."
-814846277,7.0,8.0,9.0,2.0,1.0,1.0,1.0,-JOHN DOE- has to be gone. The republicans need to take him off. If they don't they are saying pedophile is ok and excepted anywhere. Why would we have Megan's law if it is ok. Tell everyone that's what we stand for... I don't. Get him out. People lead by example. It's ok. Hurtkid
-353681022,6.0,5.0,7.0,1.0,1.0,2.0,1.0,"We need to set aside the notion that there are “good” men and “bad” men. There are just men, acting w/in a Patriarchal culture that socializes cisgender men to see penises as symbols and instruments of power and control over women. #-JOHN DOE- #SexualHarassment"
682678495,2.0,1.0,3.0,1.0,1.0,2.0,1.0,"Yea, this... Just caught the -JOHN DOE- thing. I worked with him on Arrow and he seemed like a fine guy, a typical nerd. Didn't have a lot of interactions, but enough to feel like he rather be reading a comic over harassing women. Just weird."
-1875621119,5.0,6.0,7.0,2.0,1.0,1.0,1.0,"Interesting. That doesn’t change the fact that -JOHN DOE- should be held accountable for what he did though. Hell, you can make the argument that he’s a liability for DC!"
1697987372,4.0,5.0,5.0,1.0,1.0,0.0,0.5773502691896258,Every -JOHN DOE- pic I've seen today makes me feel like he's leering at me.
1743498904,2.0,3.0,3.0,1.0,1.0,0.0,0.5773502691896258,"Ok, I've also got <OTHER TARGET 3>, from Amazon, and <OTHER TARGET 2>, from Vox Media. And now -JOHN DOE-."
-113939392,4.0,3.0,3.0,1.0,1.0,0.0,0.5773502691896258,That's -JOHN DOE- ruined URL
2144391871,6.0,6.0,7.0,1.0,0.0,1.0,0.5773502691896258,"Okay,if no one else on twitter will say it directly and succinctly I will. Stop being pervs, you creepy,old,rich ASSHOLE men.#-JOHN DOE-"
621135258,2.0,3.0,3.0,1.0,1.0,0.0,0.5773502691896258,"Ok, I've also got -JOHN DOE-, from Amazon, and <OTHER TARGET 2>, from Vox Media. And now <OTHER TARGET 1>."
500152152,4.0,5.0,5.0,1.0,1.0,0.0,0.5773502691896258,Knew -JOHN DOE- was trash since he cancelled GGR!
392330196,4.0,4.0,5.0,1.0,0.0,1.0,0.5773502691896258,"I just read someone saying “why x person didn’t quit if that thing with -JOHN DOE- happened” They have their reasons, they maybe really love their job, like their coworkers, idk but They’re victims stop that. They need our support"
316958508,2.0,3.0,3.0,1.0,1.0,0.0,0.5773502691896258,"Ok, I've also got <OTHER TARGET 3>, from Amazon, and -JOHN DOE-, from Vox Media. And now <OTHER TARGET 1>."
-348283221,3.0,4.0,4.0,1.0,1.0,0.0,0.5773502691896258,Woah -JOHN DOE- is now attacking the experts. Grow up and look in the mirror. #MAFSNZ
-604059006,5.0,6.0,6.0,1.0,1.0,0.0,0.5773502691896258,my dad left me at a young age and what -JOHN DOE- done and did is a much bigger betrayal now I gotta get my favourite tattoo covered thaNKS
-770802575,5.0,4.0,4.0,1.0,1.0,0.0,0.5773502691896258,Everyone who worked 4 ABC knew about -JOHN DOE-=Another instance where women with best jobs turned their head about sexual harassement
-1284210175,4.0,4.0,3.0,1.0,0.0,1.0,0.5773502691896258,Betcha -JOHN DOE- thought Crews wouldn't say anything fearing demise of his career or backlash from ppl that think the rules don't apply to them URL
-1738078330,5.0,6.0,6.0,1.0,1.0,0.0,0.5773502691896258,"I agree, it's too late. It's inadequate. I'm not clapping. But in my mind it's better than a denial and a vow to destroy his accusers. Y'know, like Trump, <OTHER TARGET 2>, -JOHN DOE-."
-1775756195,6.0,5.0,5.0,1.0,1.0,0.0,0.5773502691896258,Ya boy -JOHN DOE- is in deep trouble. Just another Dem perv. I am sure you will report this tomorrow you hack. Uran One deal as well.
532238058,6.0,6.0,6.0,0.0,0.0,0.0,0.0,"I agree, it's too late. It's inadequate. I'm not clapping. But in my mind it's better than a denial and a vow to destroy his accusers. Y'know, like Trump, -JOHN DOE-, <OTHER TARGET 1>."
484773400,5.0,5.0,5.0,0.0,0.0,0.0,0.0,Some of Mon-El’s dialogue about women is practically word-for-word what came out of -JOHN DOE-’s mouth when he harassed his employees.
-1525827029,9.0,9.0,9.0,0.0,0.0,0.0,0.0,whoever tried to cover this us in @USAGym should be prosecuted asap. And -JOHN DOE- should be in jail for life. It is time penalties for sexual abuse get serious in this country
-2141241842,2.0,2.0,2.0,0.0,0.0,0.0,0.0,Me when I heard that -JOHN DOE- told @ALICEGLASS that she was replaceable because Amnesty is garbage and her solo stuff is 🔥 URL
