,Negin,Xiaoyan,Sanjna,Negin-Sanjna-diff,Negin-Xiaoyan-diff,Xiaoyan-Sanjna-diff,rowwise_std,text
-2088937733,4.0,7.0,5.0,1.0,3.0,2.0,1.5275252316519465,This isn’t the first time I’ve heard of -JOHN DOE- doing some nasty shit! URL
173414078,6.0,6.0,8.0,2.0,0.0,2.0,1.1547005383792517,I disagree... -JOHN DOE- basically admitted he was a pedophile. <OTHER TARGET 2> as stated the accusations against him are false. -JOHN DOE- is such a well known perv he was mocked in a cartoon. “Help I escaped from K. -JOHN DOE-’s basement”
213861723,6.0,6.0,8.0,2.0,0.0,2.0,1.1547005383792517,This news about -JOHN DOE- is breaking my heart into a million pieces. I hope he gets removed from The Royals
-154609359,7.0,7.0,9.0,2.0,0.0,2.0,1.1547005383792517,Disgusting. Pretty telling that no one doubted the child's account - that's how repulsive -JOHN DOE- is.
-571674964,5.0,7.0,5.0,0.0,2.0,2.0,1.1547005383792517,House of Cards is being cancelled. all because -JOHN DOE- couldn't keep it in his pants
879903157,5.0,7.0,7.0,2.0,2.0,0.0,1.1547005383792517,Sad that -JOHN DOE- has been allowed to get away with it. Shame on those who knew
1361468833,5.0,7.0,7.0,2.0,2.0,0.0,1.1547005383792517,-JOHN DOE- is complete garbage
-180030427,4.0,6.0,4.0,0.0,2.0,2.0,1.1547005383792517,"It's -JOHN DOE-, why call any of these people a Lord when they aren't worthy of it"
1627529673,4.0,6.0,6.0,2.0,2.0,0.0,1.1547005383792517,"There were so many allegations made against -JOHN DOE- and solid evidence to support it, including voice recordings. So far there is no evidence against <OTHER TARGET 2>, so you really cant compare the two."
-1372104049,6.0,4.0,6.0,0.0,2.0,2.0,1.1547005383792517,I wonder how many more years the show will last with all of those rape accusations against -JOHN DOE-?
1532505158,2.0,4.0,4.0,2.0,2.0,0.0,1.1547005383792515,I know damn well!!!!😟😟😟 Please don't tell me this is true #-JOHN DOE-
292722408,2.0,4.0,2.0,0.0,2.0,2.0,1.1547005383792515,The next #TheFlash looks cool though. I can't wait. Also isn't it hilarious/sad/akward that -JOHN DOE- was accused after this so very feminist episode?
-903002598,7.0,6.0,8.0,1.0,1.0,2.0,1.0,Wow Casey <OTHER TARGET 2> and -JOHN DOE- are good friends both accused of sex crimes. Such a sick web in hollywood
-144537175,7.0,8.0,9.0,2.0,1.0,1.0,1.0,"Our State Capitol is sadly not exempt from sexism and sexual harassment. We need to live our values of equal treatment, interrupt bad behavior, support survivors, and hold each other accountable. I stand with my colleagues in calling for Rep. -JOHN DOE-'s immediate resignation."
484773400,4.0,5.0,6.0,2.0,1.0,1.0,1.0,Some of Mon-El’s dialogue about women is practically word-for-word what came out of -JOHN DOE-’s mouth when he harassed his employees.
-1407624614,7.0,6.0,8.0,1.0,1.0,2.0,1.0,Wow Casey -JOHN DOE- and <OTHER TARGET 1> are good friends both accused of sex crimes. Such a sick web in hollywood
-1284210175,3.0,4.0,5.0,2.0,1.0,1.0,1.0,Betcha -JOHN DOE- thought Crews wouldn't say anything fearing demise of his career or backlash from ppl that think the rules don't apply to them URL
644930918,2.0,3.0,1.0,1.0,1.0,2.0,1.0,"Hopefully Trump RT @dmcparson: The other day it was <OTHER TARGET 1>, then -JOHN DOE-, and today it's <OTHER TARGET 3>. Who will it be tomorrow?"
273119172,2.0,3.0,1.0,1.0,1.0,2.0,1.0,"Hopefully Trump RT @dmcparson: The other day it was <OTHER TARGET 1>, then <OTHER TARGET 2>, and today it's -JOHN DOE-. Who will it be tomorrow?"
710916188,5.0,7.0,6.0,1.0,2.0,1.0,1.0,"Somebody was putting -JOHN DOE- in a movie? They should just call that shit off, gonna break the tomato meter."
2058527191,5.0,6.0,7.0,2.0,1.0,1.0,1.0,This comment in response to -JOHN DOE-'s apology exemplifies the culture that enabled his behavior to go unchecked for so long. URL
-1205092936,6.0,4.0,5.0,1.0,2.0,1.0,1.0,"And in other news... -JOHN DOE- has been accused of 6 sexual assaults. Wonder what his Ratpack co. partner, Steve Mnuchin makes of that?"
-830387377,5.0,3.0,4.0,1.0,2.0,1.0,1.0,"As an outspoken advocate for sexually abused girls/women, have you talked with Mr. -JOHN DOE- about these four?"
924879483,2.0,3.0,1.0,1.0,1.0,2.0,1.0,"Hopefully Trump RT @dmcparson: The other day it was -JOHN DOE-, then <OTHER TARGET 2>, and today it's <OTHER TARGET 3>. Who will it be tomorrow?"
1825172575,4.0,3.0,5.0,1.0,1.0,2.0,1.0,No wonder -JOHN DOE- was screaming abt Trump months ago. Everyone screaming is probably got something to hide
1539570046,,4.0,3.0,,,1.0,0.7071067811865476,How convenient of you to forget @BillClinton as a predator yet @Potus listed w #<OTHER TARGET 1> #O'Reilly and #-JOHN DOE- URL
-838525615,3.0,4.0,3.0,0.0,1.0,1.0,0.5773502691896258,How convenient of you to forget @BillClinton as a predator yet @Potus listed w #-JOHN DOE- #O'Reilly and #<OTHER TARGET 2> URL
-2093989229,7.0,7.0,8.0,1.0,0.0,1.0,0.5773502691896258,"Yeah, because we aren't about to elect <OTHER TARGET 1> to the US Senate. #-JOHN DOE-ChildMolestor"
-869965513,6.0,6.0,7.0,1.0,0.0,1.0,0.5773502691896258,"You know what is so sad about this -JOHN DOE- sexual harassment? 15 women complained but nothing happened. It was only after 4 white men stepped forward that something was done. CW, WB, and Berlanti brushed the women complaints aside. Didn’t believe them."
-759158930,2.0,2.0,3.0,1.0,0.0,1.0,0.5773502691896258,not surprised about -JOHN DOE- at all tbh
1982751239,7.0,7.0,8.0,1.0,0.0,1.0,0.5773502691896258,I get that suspension usually happens while information is collected but I will be shocked and disgusted if -JOHN DOE- is still listed as a WB employee by Monday. People won’t just forget about this. #Fire-JOHN DOE-
-411750589,7.0,8.0,7.0,0.0,1.0,1.0,0.5773502691896258,Actually didn't need anymore reasons to dislike -JOHN DOE-. This guy has been an asshat for many many years. #-JOHN DOE- #-JOHN DOE- #sexualassault #NotSurprised #douchbag
-1212148843,5.0,6.0,6.0,1.0,1.0,0.0,0.5773502691896258,-JOHN DOE- apologises for grabbing pussie are they all at it? U would think it it was a commen accurance by stars we all admire dirty bastards
1419659900,7.0,7.0,8.0,1.0,0.0,1.0,0.5773502691896258,"As an avid reader, I was upset to learn about -JOHN DOE-, he has no place at your publication and must be fired immediately."
-2103277501,6.0,7.0,7.0,1.0,1.0,0.0,0.5773502691896258,For the record I've hated -JOHN DOE- and been disgusted by his actions going back to NEWSRADIO.
-1659706193,5.0,6.0,6.0,1.0,1.0,0.0,0.5773502691896258,Most days you can look at the trending topics on Twitter and assume one of the names is a predator. I saw -JOHN DOE- and immediately knew.
856399650,4.0,4.0,3.0,1.0,0.0,1.0,0.5773502691896258,BREAKING: -JOHN DOE- Dropping Out Of Alabama Senate Race; State GOP Leaders Pick <OTHER TARGET 1> As Emergency Replacement
-721182847,1.0,1.0,2.0,1.0,0.0,1.0,0.5773502691896257,"Looks like -JOHN DOE-, <OTHER TARGET 1> (who I interviewed at my old job), and IGN’s <OTHER TARGET 2>. This has become a typical Monday."
-1067005366,9.0,8.0,8.0,1.0,1.0,0.0,0.5773502691896257,How is it a hip thing? Do you not realize many women go through this for YEARS and dont say anything for a long time? And its already confirmed -JOHN DOE- is a predator because he’s already in jail for child porn and has 33 counts of sexual abuse against him.
-1250333996,1.0,1.0,2.0,1.0,0.0,1.0,0.5773502691896257,"Looks like <OTHER TARGET 3>, -JOHN DOE- (who I interviewed at my old job), and IGN’s <OTHER TARGET 2>. This has become a typical Monday."
-1546347044,1.0,1.0,2.0,1.0,0.0,1.0,0.5773502691896257,"Looks like <OTHER TARGET 3>, <OTHER TARGET 1> (who I interviewed at my old job), and IGN’s -JOHN DOE-. This has become a typical Monday."
930962557,3.0,3.0,3.0,0.0,0.0,0.0,0.0,... beyond their own will to power. It is much the same in the entertainment industry. 4/4 #-JOHN DOE- #<OTHER TARGET 3> #<OTHER TARGET 2> #youknowwhoyouare
-2069241712,3.0,3.0,3.0,0.0,0.0,0.0,0.0,... beyond their own will to power. It is much the same in the entertainment industry. 4/4 #<OTHER TARGET 1> #-JOHN DOE- #<OTHER TARGET 2> #youknowwhoyouare
820560483,3.0,3.0,3.0,0.0,0.0,0.0,0.0,... beyond their own will to power. It is much the same in the entertainment industry. 4/4 #<OTHER TARGET 1> #<OTHER TARGET 3> #-JOHN DOE- #youknowwhoyouare
-896241493,6.0,6.0,6.0,0.0,0.0,0.0,0.0,Genuinely shocked about -JOHN DOE- raping accusation.
