,Joe,Nour,Jillian,joe-nour-diff,joe-jillian-diff,jillian-nour-diff,text
-487315218,7.0,8.0,8.0,1.0,1.0,0.0,"Vote all these old men out. If they can’t say that -JOHN DOE- is a sexual predator, they don’t deserve the office."
-481791999,1.0,2.0,4.0,1.0,3.0,2.0,They could just use footage of Robert Baratheon as Trump and the Imp as -JOHN DOE-
-432268891,3.0,1.0,3.0,2.0,0.0,2.0,-JOHN DOE- admits he was practicing for his role as billionaire playboy Bruce Wayne as far back as 2001....👀
-428750082,8.0,9.0,5.0,1.0,3.0,4.0,"I get it now. Draining the swamp. Liberal scum like -JOHN DOE- and <OTHER TARGET 1>. For women's rights, keep em coming! Good work!"
-422102965,5.0,6.0,4.0,1.0,1.0,2.0,"Andy makes a -JOHN DOE- of himself and gets the Shaft ""-JOHN DOE-"""
-405858412,8.0,7.0,7.0,1.0,1.0,0.0,"-JOHN DOE- is no different than Anthony <OTHER TARGET 1>. Both have many warts and faults, but crimes against children cannot be tolerated."
-400832152,6.0,7.0,8.0,1.0,2.0,1.0,And if you're more concerned with -JOHN DOE- being a soros/dem and not the heinous acts he's accused of you're just as fucked.
-378299624,5.0,5.0,3.0,0.0,2.0,2.0,"If women are speaking up 20 years later about <OTHER TARGET 1>, think of what's happening right now? Right, @-JOHN DOE- @amazon?"
-358210569,8.0,9.0,5.0,1.0,3.0,4.0,"""-JOHN DOE-"" , and this piece of human garbage critiques President TRUMP❓❓❓ CHUTZPAH‼️🤨"
-352094210,7.0,9.0,7.0,2.0,0.0,2.0,"None of the -JOHN DOE- accusations are surprising, that dudes been a scumbag since day one"
-318559323,8.0,6.0,7.0,2.0,1.0,1.0,Hi! So it's great that you had <OTHER TARGET 2> fired. When will you be firing -JOHN DOE-?
-296446526,4.0,4.0,3.0,0.0,1.0,1.0,At least no women are coming out about Tyler Perry. Phew. <OTHER TARGET 2>/<OTHER TARGET 3>/-JOHN DOE- #handsonguys
-290962095,8.0,9.0,9.0,1.0,1.0,0.0,"#SICK #EVIL #Perverts would obviously do it to a live child. ""When someone tell you who you are, believe them."" Maya Angelou, heroine of the left. Believe what the creep -JOHN DOE-, says."
-271516984,7.0,5.0,6.0,2.0,1.0,1.0,"The more stories of sexual assault I hear, the more I fear raising a child in today's world. #<OTHER TARGET 1> #-JOHN DOE- #<OTHER TARGET 3> #Trump #Oreilly"
-242612679,1.0,3.0,4.0,2.0,3.0,1.0,All the Trumpers banging on about -JOHN DOE-: who voted for -JOHN DOE- for President? No one. Who voted for Trump for President? You did.
-231814286,7.0,8.0,5.0,1.0,2.0,3.0,"While these powerful men should have been called out and charged decades ago for their sexual predation, they’re being called out now. Feminists and liberals: keep fighting; the world is starting to listen. #HarveyWeinsten #-JOHN DOE- #BelieveWomen"
-180056564,2.0,6.0,5.0,4.0,3.0,1.0,"Remember when this -JOHN DOE- cat thought he was all meow enough to taunt Trump and GOP about ""values?"" @-JOHN DOE-izer #maga URL"
-147767400,7.0,7.0,5.0,0.0,2.0,2.0,#<OTHER TARGET 1>Brothers #-JOHN DOE- everyone seems to have a problem keeping their dicks in their pants
-83680778,6.0,6.0,2.0,0.0,4.0,4.0,Here we go again. Yet another LIBERAL accused of sexual harassment. This time it's -JOHN DOE- from none other than ultra-liberal #NPR. The lack of moral compass and integrity will be undoing of what is left of Democrat Party. #MAGA #WednesdayWisdom #tcot #WorldVeganDay URL
-24103791,1.0,1.0,,0.0,,,"taking tweet down was wrong #Mika covered #-JOHN DOE- first few moments of show,retracting all tweets accusing #mornjoe non-cover"
-10034078,7.0,9.0,8.0,2.0,1.0,1.0,-JOHN DOE- for years was known as a predator freak as well as other more famous actor/filmmaker. SAG must react and remove predators from union.
11652570,5.0,7.0,6.0,2.0,1.0,1.0,not surprised in the slightest that -JOHN DOE- aka Claudio Palmieri was abusing Alice Glass but i'm surprised none of us noticed before this
25025350,5.0,3.0,7.0,2.0,2.0,4.0,"-JOHN DOE-. Amazon Studios chief. On leave of absence amid sexual harassment claims. You know what to do, Twitter."
56109995,6.0,3.0,6.0,3.0,0.0,3.0,"-JOHN DOE- managed money and lost millions, then was able to manage Soros money. How? #sick URL"
68825784,2.0,1.0,3.0,1.0,1.0,2.0,"Charlie Sheen, <OTHER TARGET 1> and -JOHN DOE- walk into <OTHER TARGET 3>'s office. ""We've got an act, you're gonna love it..."""
76973488,4.0,4.0,3.0,0.0,1.0,1.0,At least no women are coming out about Tyler Perry. Phew. <OTHER TARGET 2>/-JOHN DOE-/<OTHER TARGET 1> #handsonguys
89478845,6.0,7.0,7.0,1.0,1.0,0.0,Is there a reason why you're not using the word rape here? Pretty sure CA considers -JOHN DOE-'s alledged actions rape.
96453593,3.0,1.0,2.0,2.0,1.0,1.0,"executive. <OTHER TARGET 1> represents an extensive client list that includes <OTHER TARGET 3> and -JOHN DOE-, both of whom have been accused of sexual"
113947419,8.0,8.0,7.0,0.0,1.0,1.0,"The culture that must exist in order for these predators to thrive - predators like -JOHN DOE-, <OTHER TARGET 2>, and <OTHER TARGET 3> - make it unimaginably difficult for victims to speak up."
149123604,7.0,8.0,7.0,1.0,0.0,1.0,We're just supposed to be cool with -JOHN DOE- creeping on a minor because he's out of the closet now? Fuck out with that.
166633529,4.0,4.0,3.0,0.0,1.0,1.0,"Moore, -JOHN DOE-, <OTHER TARGET 1>, Mueller, Putin/Trump in Vietnam, the tax ""cut"" bill from the Senate...how long is it going to take to unpack, and then how much longer to start healing."
167342195,2.0,4.0,4.0,2.0,2.0,0.0,TV ratings are down 25% ! Get those employees (players) off their knees (before -JOHN DOE- stops by). 🤪🤣
174534920,2.0,5.0,5.0,3.0,3.0,0.0,"We've heard about -JOHN DOE-. Still waiting for the other shoe to drop on the rest of the ""Pussy Posse""."
244661492,6.0,8.0,5.0,2.0,1.0,3.0,"#fuckyou <OTHER TARGET 2>, -JOHN DOE-, Polanski, CK, Allen, <OTHER TARGET 3>, Cosby, Brando... who else? I need a complete list."
245287744,2.0,1.0,3.0,1.0,1.0,2.0,"Charlie Sheen, -JOHN DOE- and <OTHER TARGET 2> walk into <OTHER TARGET 3>'s office. ""We've got an act, you're gonna love it..."""
263395990,3.0,1.0,2.0,2.0,1.0,1.0,"executive. -JOHN DOE- represents an extensive client list that includes <OTHER TARGET 3> and <OTHER TARGET 2>, both of whom have been accused of sexual"
300278266,3.0,4.0,3.0,1.0,0.0,1.0,"<OTHER TARGET 2>, Polansky, Allen, -JOHN DOE-, what do they have in common? Ask Mel!"
313016657,8.0,9.0,8.0,1.0,0.0,1.0,"Another liberal zionist perverted fuck falls out of the tree, #-JOHN DOE- , biggest donors of @Our_DA thru #GeorgeSoros . #WMC #whitemedia"
361612355,3.0,4.0,3.0,1.0,0.0,1.0,"-JOHN DOE-, Polansky, Allen, <OTHER TARGET 1>, what do they have in common? Ask Mel!"
388004339,7.0,9.0,7.0,2.0,0.0,2.0,"everyone who unfortunately had to be in the same room as -JOHN DOE-, get some burning sage and cleanse every area his ugly ass has been in. demons aren’t welcomed"
402382461,7.0,10.0,5.0,3.0,2.0,5.0,"I remember when everyone was dickriding -JOHN DOE- as a ""great writer"" and ""the only decent IGN employee"". I never understood it and got lots of shit for saying he always came off as a weird pervert in videos. Fucking called it years ago. And his writing was pure garbage."
515205482,1.0,1.0,1.0,0.0,0.0,0.0,"So having been on a Twitter break this week, I gotta ask: did I miss any exposes beyond <OTHER TARGET 2>, -JOHN DOE-, and Taibbi?"
518835762,2.0,3.0,2.0,1.0,0.0,1.0,"Don't forget your promise if and when names get named. From the original @KUNC report: ""It’s a well known fact across the building that people like Rep. -JOHN DOE- and a number of Senate Republicans have all behaved in a way..."" #copolitics #coleg"
530409354,,4.0,2.0,,,2.0,How bad are Democrats who won't even say that they'll make Senator <OTHER TARGET 1> step down if he's found guilty? The accusations against -JOHN DOE- are coming on the heels of multiple leftist Dem and libs being found guilty of sexual assault and rape. You're a hypocrite!
552001770,9.0,10.0,9.0,1.0,0.0,1.0,-JOHN DOE- has history of being a sexual predator. How has he not been in prison or even beaten thoroughly?
563954926,7.0,7.0,7.0,0.0,0.0,0.0,Fuck you “-JOHN DOE-” (Claudio Palmieri).
585369349,3.0,6.0,5.0,3.0,2.0,1.0,"Between -JOHN DOE-, <OTHER TARGET 3> and now <OTHER TARGET 2>, The Romanoffs just became the biggest lost cause in television history."
587328837,4.0,7.0,3.0,3.0,1.0,4.0,It's getting hot in herrr - no seriously it doesn't look good for @-JOHN DOE-_Mo #-JOHN DOE- #whatIsWithTheseCelebrities URL
602807640,1.0,2.0,3.0,1.0,2.0,1.0,-JOHN DOE- is a well known DEMOCRAT donator.
623634277,10.0,10.0,9.0,0.0,1.0,1.0,i genuinely hope men like -JOHN DOE- and <OTHER TARGET 1> will rot in prison for the rest of their days
624688207,7.0,9.0,7.0,2.0,0.0,2.0,"-JOHN DOE- is cancelled too, but im not gonna let him ruin what oth meant to me fuck him"
632660592,9.0,9.0,8.0,0.0,1.0,1.0,"Fuck -JOHN DOE-, hope he falls in a manhole"
635256042,3.0,4.0,2.0,1.0,1.0,2.0,"Fuck, not -JOHN DOE-. I'm torn now. I don't know how to feel about this."
691526579,7.0,9.0,7.0,2.0,0.0,2.0,It's about damn time @DCComics suspended -JOHN DOE-. About damn time. #StopProtectingAndPromotingPredators
697038743,11.0,8.0,7.0,3.0,4.0,1.0,so is it in a sense that in a good world -JOHN DOE- would be facing 10-to-life? It is a very strange series of announcements...
719101631,7.0,9.0,7.0,2.0,0.0,2.0,I've had bad vibes from -JOHN DOE- since I knew of him around like 15 what a forking slimeball
732817870,8.0,8.0,7.0,0.0,1.0,1.0,I feel sorry for Bill Cosby but not that son of a bitch -JOHN DOE-!!
748768376,5.0,7.0,6.0,2.0,1.0,1.0,"Her statement is so on point, ""Why are we looking at why didn't the girls speak up?"" she says. ""Why not look at what about the culture? What did USA Gymnastics do, and -JOHN DOE- do, to manipulate these girls so much that they are so afraid to speak up?"""
781540299,9.0,10.0,9.0,1.0,0.0,1.0,"Throwing -JOHN DOE- behind bars isn't enough justice for these girls, it never will be. What we need to do is push to do better as a society to get rid of shitheads like him"
815780887,3.0,4.0,3.0,1.0,0.0,1.0,"Good morning to everyone except -JOHN DOE-, Chair of the Earth and Environment Dept at @BU_Tweets"
849534104,6.0,6.0,5.0,0.0,1.0,1.0,And our #AgresserOfTheDay is -JOHN DOE-. And tomorrow? #Hollywood #HollywoodHypocrites
860590332,9.0,8.0,8.0,1.0,1.0,0.0,"If proven true, id not only disqualify Moore, but lock him up, as im sure youd agree. Same for -JOHN DOE-, Hastert, Bill Clinton. <OTHER TARGET 1>..."
867174394,6.0,8.0,5.0,2.0,1.0,3.0,"#fuckyou <OTHER TARGET 2>, <OTHER TARGET 1>, Polanski, CK, Allen, -JOHN DOE-, Cosby, Brando... who else? I need a complete list."
891338438,9.0,9.0,8.0,0.0,1.0,1.0,"*Sees -JOHN DOE- trending* please dont be dead, please dont be dead *clicks* I wished I was right"
935236339,6.0,9.0,8.0,3.0,2.0,1.0,"I mean...it’s -JOHN DOE-? How has this not happened sooner? The guy is always offensive, rude, inappropriate, and awful."
963993046,8.0,10.0,9.0,2.0,1.0,1.0,I'm sickened and angry to hear what -JOHN DOE- has done physically and psychologically to most of oth women. and to think we don't even know the whole story and the full extent of his actions. #BurnItDownSis #FuckYourSorry
972449420,8.0,9.0,7.0,1.0,1.0,2.0,-JOHN DOE- has always been a jackass bully of women.
1001153726,8.0,9.0,8.0,1.0,0.0,1.0,"Nah fuck -JOHN DOE-, absolute trash"
1007777324,4.0,2.0,4.0,2.0,0.0,2.0,"How long until calling someone a ""Male Feminist"" is an epithet? ""-JOHN DOE-"" URL"
1010477055,7.0,8.0,7.0,1.0,0.0,1.0,"There's the ""it was a long time ago"" and ""some of those bitches be lying."" -JOHN DOE-, and predatory men like him, just can't help themselves. URL"
1023733904,2.0,2.0,2.0,0.0,0.0,0.0,And Presiden Donald Trump is leading in the condemnation of -JOHN DOE-. 🤔Oh not...he's NOT...he have his own women accusers!😱
1039999036,2.0,4.0,3.0,2.0,1.0,1.0,"What channel are you watching @billmaher @CNN Lets begin with Clinton, <OTHER TARGET 2>, Menendez, -JOHN DOE-, Moore, <OTHER TARGET 1>... get a grip on yourself Maher. #WakeUp"
1047800552,8.0,7.0,7.0,1.0,1.0,0.0,"If someone had reported -JOHN DOE-, Cosby, <OTHER TARGET 2>, <OTHER TARGET 3> and others to police at the time, it could have prevented further victims."
1048837647,6.0,8.0,5.0,2.0,1.0,3.0,"#fuckyou -JOHN DOE-, <OTHER TARGET 1>, Polanski, CK, Allen, <OTHER TARGET 3>, Cosby, Brando... who else? I need a complete list."
1070099377,8.0,9.0,5.0,1.0,3.0,4.0,"-JOHN DOE- is genuinely chaotic evil, I don’t give a fuck he was found not guilty in Gone Girl? he obviously still did it? case closed"
1090903631,4.0,6.0,5.0,2.0,1.0,1.0,-JOHN DOE- Accused of Raping Former Model in 2004. WE WILL RIP WHAT WE S-O-W.
1098044723,2.0,5.0,2.0,3.0,0.0,3.0,Did they not know who -JOHN DOE- was before the hired him? URL
1144498640,7.0,5.0,6.0,2.0,1.0,1.0,"The more stories of sexual assault I hear, the more I fear raising a child in today's world. #<OTHER TARGET 1> #<OTHER TARGET 2> #-JOHN DOE- #Trump #Oreilly"
1168463412,7.0,5.0,6.0,2.0,1.0,1.0,"The more stories of sexual assault I hear, the more I fear raising a child in today's world. #-JOHN DOE- #<OTHER TARGET 2> #<OTHER TARGET 3> #Trump #Oreilly"
1173572321,8.0,7.0,7.0,1.0,1.0,0.0,"If someone had reported <OTHER TARGET 1>, Cosby, -JOHN DOE-, <OTHER TARGET 3> and others to police at the time, it could have prevented further victims."
1179261338,1.0,3.0,1.0,2.0,0.0,2.0,Nothing about <OTHER TARGET 1> allegations in -JOHN DOE- case? This will hurt Justice League in the box office results for sure
1185811423,8.0,9.0,8.0,1.0,0.0,1.0,"<OTHER TARGET 2> and -JOHN DOE- and their ilk and all the enablers fucked up women's lives and they should all, you know, just eat shit and"
1241663284,3.0,3.0,4.0,0.0,1.0,1.0,"-JOHN DOE-, in Latin, means literally ""he came"". If that's not a foreshadowing sign, I don't know that is."
1257442101,4.0,6.0,3.0,2.0,1.0,3.0,"Typical democrats. Deflect from the REAL story, anything to get everyone off -JOHN DOE- story. This story is not going away."
1258039801,3.0,3.0,3.0,0.0,0.0,0.0,"Adding: I'm really curious if -JOHN DOE- et al. who've been exposed since <OTHER TARGET 2> were also on the samizdat ""Shitty Media Men"" email…"
1259184866,3.0,3.0,3.0,0.0,0.0,0.0,"Adding: I'm really curious if <OTHER TARGET 1> et al. who've been exposed since -JOHN DOE- were also on the samizdat ""Shitty Media Men"" email…"
1269174014,4.0,6.0,6.0,2.0,2.0,0.0,"It is extra troubling that the alleged victim with <OTHER TARGET 2> is 14 vs -JOHN DOE-'s victim, age 23. Both troubling"
1271270959,7.0,9.0,7.0,2.0,0.0,2.0,"i've loathed -JOHN DOE- for years, even more reason to now"
1299121687,1.0,2.0,4.0,1.0,3.0,2.0,will this nyt story also reveal the long-standing open secret that -JOHN DOE- isnt actually funny
1307050590,10.0,10.0,9.0,0.0,1.0,1.0,"Also, #<OTHER TARGET 1> is a sick pervert. I do not find him funny, and like #-JOHN DOE-(less), I think both men should be in mental hospital institutions with max security, and heavily medicated. Like @realDonaldTrump, they're #UnfitForSociety at large."
1328810353,5.0,6.0,5.0,1.0,0.0,1.0,When did pulling out your “junk” become a go-to move? Does The Juilliard School teach a course on Hypnotic Penis Tricks #<OTHER TARGET 3> #<OTHER TARGET 2> #KevinSpacy #-JOHN DOE- #hollywoodscandal URL
1330422645,9.0,10.0,8.0,1.0,1.0,2.0,"-JOHN DOE- is fucking cancelled, absolute scum"
1350082827,4.0,7.0,6.0,3.0,2.0,1.0,"It is extra troubling that the alleged victim with -JOHN DOE- is 14 vs <OTHER TARGET 1>'s victim, age 23. Both troubling"
1400373418,6.0,8.0,6.0,2.0,0.0,2.0,Well now #-JOHN DOE- turns out to be a sexual deviant who exposes himself in front of women and masturbates. What next?
1421839696,6.0,6.0,7.0,0.0,1.0,1.0,-JOHN DOE- being accused of sexual assault is about as surprising as <OTHER TARGET 1> coming out as gay (which I honestly thought was an already established fact before he tried to use it as an excuse for sexually assaulting a 14 y/o boy).
1431397059,8.0,8.0,8.0,0.0,0.0,0.0,"Just heard about -JOHN DOE-, it’s terrible what he did in the past and I think the women that spoke out are brave, I hate that we live in a society where this kind of behaviour is protected."
1436045598,5.0,6.0,4.0,1.0,1.0,2.0,Am simply a civilian who read articles in industry publications years ago that gave me impression -JOHN DOE- skeevy.
